Name,Treatment,Concentration,Value
0Gy,UnTx,100000,0
0Gy,UnTx,50000,0
0Gy,UnTx,25000,0
0Gy,UnTx,12500,0
0Gy,UnTx,6250,0
0Gy,UnTx,3125,0
0Gy,UnTx,1562,0
0Gy,UnTx,781,0
0Gy,5uM,100000,0
0Gy,5uM,50000,0
0Gy,5uM,25000,0
0Gy,5uM,12500,0
0Gy,5uM,6250,0
0Gy,5uM,3125,0
0Gy,5uM,1562,0
0Gy,5uM,781,0
0Gy,10uM,100000,0
0Gy,10uM,50000,0
0Gy,10uM,25000,0
0Gy,10uM,12500,0
0Gy,10uM,6250,0
0Gy,10uM,3125,0
0Gy,10uM,1562,0
0Gy,10uM,781,0
3Gy,UnTx,100000,0
3Gy,UnTx,50000,0
3Gy,UnTx,25000,0
3Gy,UnTx,12500,0
3Gy,UnTx,6250,0
3Gy,UnTx,3125,0
3Gy,UnTx,1562,0
3Gy,UnTx,781,0
3Gy,5uM,100000,0
3Gy,5uM,50000,0
3Gy,5uM,25000,0
3Gy,5uM,12500,0
3Gy,5uM,6250,0
3Gy,5uM,3125,0
3Gy,5uM,1562,0
3Gy,5uM,781,0
3Gy,10uM,100000,0
3Gy,10uM,50000,0
3Gy,10uM,25000,0
3Gy,10uM,12500,0
3Gy,10uM,6250,0
3Gy,10uM,3125,50
3Gy,10uM,1562,50
3Gy,10uM,781,66.66666667
6Gy,UnTx,100000,0
6Gy,UnTx,50000,0
6Gy,UnTx,25000,0
6Gy,UnTx,12500,8.333333333
6Gy,UnTx,6250,41.66666667
6Gy,UnTx,3125,83.33333333
6Gy,UnTx,1562,83.33333333
6Gy,UnTx,781,100
6Gy,5uM,100000,0
6Gy,5uM,50000,0
6Gy,5uM,25000,33.33333333
6Gy,5uM,12500,75
6Gy,5uM,6250,100
6Gy,5uM,3125,100
6Gy,5uM,1562,100
6Gy,5uM,781,100
6Gy,10uM,100000,0
6Gy,10uM,50000,66.66666667
6Gy,10uM,25000,83.33333333
6Gy,10uM,12500,100
6Gy,10uM,6250,100
6Gy,10uM,3125,100
6Gy,10uM,1562,100
6Gy,10uM,781,100
